Date,ë™íËÉ^ÉCÉ~ÉìÉO,ëÃèd(kg),ëÃéâñbó¶(%),éâñbó (kg),èúéâñbó (kg),êÑíËçúó (kg),ãÿì˜ó (kg),ëÃêÖï™ó (kg),É^ÉìÉpÉNéøÇ»Ç«(kg),BMI,ãÿì˜ó _ëÃä≤ïî(kg),ãÿì˜ó _ç∂òr(kg),ãÿì˜ó _âEòr(kg),ãÿì˜ó _ç∂ãr(kg),ãÿì˜ó _âEãr(kg),éâñbó _ëÃä≤ïî(kg),éâñbó _ç∂òr(kg),éâñbó _âEòr(kg),éâñbó _ç∂ãr(kg),éâñbó _âEãr(kg),äÓëbë„é”ó (BMR)(kcal),ì‡ëüéâñbÉåÉxÉã(VFR),ÉAÉXÉäÅ[Égéwêî
2023/10/13 19:50,â^ìÆå„,79.3,18.9,15,64.3,3.3,61,45.7,15.3,24.5,31.5,3.1,3.2,11.7,11.5,8.3,0.7,0.6,2.6,2.8,1790,12,56
2023/11/8 20:38,â^ìÆå„,79.3,19.1,15.1,64.2,3.3,60.9,45.2,15.7,24.5,31.6,3,3.1,11.8,11.4,8.7,0.6,0.6,2.5,2.7,1785,12,55
2024/3/2 18:20,â^ìÆå„,80.3,20.8,16.7,63.6,3.3,60.3,43.9,16.4,24.8,31.9,3,3.1,11.2,11.1,9.4,0.7,0.7,2.9,3,1771,12,59
2024/5/25 20:45,â^ìÆå„,80.3,20.2,16.2,64.1,3.3,60.8,44.7,16.1,24.8,31.8,3,3.1,11.5,11.4,9.2,0.7,0.6,2.8,2.9,1785,12,50
2024/6/23 14:40,â^ìÆå„,79.5,20.6,16.4,63.1,3.3,59.8,43.3,16.5,24.5,31.8,2.9,3,11.1,11,9.5,0.6,0.6,2.8,2.9,1756,12,58
2024/8/9 18:54,â^ìÆå„,78.6,19.2,15.1,63.5,3.3,60.2,44.5,15.7,24.3,31.4,3,3.1,11.4,11.3,8.6,0.6,0.6,2.6,2.7,1764,12,53
2024/10/17 20:36,â^ìÆå„,79.5,19.6,15.6,63.9,3.3,60.6,45.8,14.8,24.5,30.8,3.1,3.2,11.8,11.7,8.7,0.7,0.7,2.7,2.8,1778,12,50
2024/11/9 17:51,â^ìÆå„,78.9,20,15.8,63.1,3.3,59.8,43.8,16,24.4,31.7,3,3.1,11.1,10.9,9.1,0.6,0.6,2.7,2.8,1753,12,54
2024/12/20 20:33,â^ìÆå„,80.3,19.7,15.8,64.5,3.3,61.2,45.8,15.4,24.8,31.6,3.1,3.2,11.7,11.6,8.7,0.7,0.7,2.8,2.9,1796,12,52
2025/1/5 13:57,â^ìÆå„,80.5,21,16.9,63.6,3.3,60.3,43.8,16.5,24.8,32.1,3,3.2,11.1,10.9,9.6,0.7,0.7,2.9,3,1771,12,55
2025/1/10 19:41,â^ìÆå„,80.2,20.6,16.5,63.7,3.3,60.4,44.4,16,24.8,31.7,3,3.1,11.4,11.2,9.4,0.7,0.7,2.8,2.9,1772,12,52
2025/1/19 14:41,â^ìÆå„,80.3,19.5,15.7,64.6,3.3,61.3,45.5,15.8,24.8,32.5,3.1,3.2,11.3,11.2,8.9,0.7,0.6,2.7,2.8,1800,12,58
2025/2/18 19:37,â^ìÆå„,81.4,20.7,16.8,64.6,3.3,61.3,45.6,15.7,25.1,31.6,3.1,3.2,11.8,11.6,9.5,0.7,0.7,2.9,3,1800,13,52
2025/3/14 20:31,â^ìÆå„,80.6,19.4,15.6,65,3.4,61.6,46.3,15.3,24.9,31.9,3.1,3.2,11.7,11.7,8.7,0.7,0.7,2.7,2.8,1810,12,54
2025/4/2 19:18,â^ìÆå„,79.8,19.6,15.6,64.2,3.3,60.9,45.3,15.6,24.6,31.6,3.1,3.2,11.5,11.5,8.8,0.7,0.6,2.7,2.8,1785,12,56
2025/4/5 19:54,â^ìÆå„,80,19.4,15.5,64.5,3.3,61.2,45.4,15.8,24.7,31.7,3,3.1,11.8,11.6,8.7,0.7,0.7,2.6,2.8,1795,12,51
2025/4/19 16:09,â^ìÆå„,79,18.5,14.6,64.4,3.3,61.1,45.5,15.6,24.4,32,3.1,3.2,11.5,11.3,8.1,0.6,0.6,2.6,2.7,1790,12,57
2025/5/1 19:49,â^ìÆå„,80.6,19.5,15.7,64.9,3.3,61.6,46.3,15.3,24.9,31.7,3.1,3.2,11.8,11.8,8.7,0.7,0.7,2.7,2.9,1808,12,54
2025/5/28 18:44,â^ìÆå„,80.4,19.9,16,64.4,3.3,61.1,45.3,15.8,24.8,32,3,3.1,11.6,11.4,9.1,0.7,0.6,2.7,2.9,1794,12,53
2025/7/19 15:29,â^ìÆå„,79.2,19.5,15.4,63.8,3.3,60.5,44.5,16,24.4,32,3,3.1,11.2,11.2,8.7,0.6,0.6,2.7,2.8,1771,12,59
2025/8/12 15:16,â^ìÆå„,79.9,19.3,15.4,64.5,3.3,61.2,46.4,14.8,24.7,31,3.1,3.2,12,11.9,8.6,0.7,0.7,2.6,2.8,1794,12,55
2025/8/17 14:43,â^ìÆå„,78.6,18.9,14.9,63.7,3.3,60.4,44.5,15.9,24.3,32.2,3,3.1,11.1,11,8.4,0.6,0.6,2.6,2.7,1769,12,61
2025/10/9 19:52,â^ìÆå„,78.3,18.5,14.5,63.8,3.3,60.5,45.2,15.3,24.2,31.6,3,3.2,11.4,11.3,8.2,0.6,0.6,2.5,2.6,1771,12,55
2025/11/16 16:07,â^ìÆå„,76.4,18.4,14.1,62.3,3.2,59.1,43.5,15.6,23.6,31,2.9,3,11.1,11.1,8,0.6,0.6,2.4,2.5,1724,11,51
2025/11/27 20:24,â^ìÆå„,77.9,18.2,14.2,63.7,3.3,60.4,45.4,15,24,31.1,3,3.1,11.7,11.5,8.2,0.6,0.6,2.3,2.5,1767,12,52
2025/12/11 18:12,â^ìÆå„,76.6,17.9,13.7,62.9,3.2,59.7,43.3,16.4,23.6,32.2,2.9,3,10.9,10.7,7.9,0.6,0.5,2.3,2.4,1740,11,56
2026/1/13 17:34,â^ìÆå„,77.3,17.6,13.6,63.7,3.3,60.4,45.4,15,23.9,31.7,3.1,3.2,11.2,11.2,7.5,0.6,0.6,2.4,2.5,1765,11,58
2026/1/16 18:26,â^ìÆå„,77.5,18.1,14,63.5,3.3,60.2,45.5,14.7,23.9,30.6,3,3.2,11.7,11.7,7.9,0.6,0.6,2.4,2.5,1759,11,50
2026/1/25 16:37,â^ìÆå„,77.4,18.4,14.2,63.2,3.3,59.9,44.5,15.4,23.9,31.4,3,3.1,11.2,11.2,8.1,0.6,0.6,2.4,2.5,1750,11,52
2026/2/10 18:01,â^ìÆå„,77.1,17.9,13.8,63.3,3.3,60,45.1,14.9,23.8,30.6,3,3.1,11.7,11.6,7.9,0.6,0.6,2.3,2.4,1753,11,49
2026/3/12 19:29,â^ìÆå„,74.9,16,12,62.9,3.2,59.7,44.7,15,23.1,31.4,3,3,11.2,11.1,6.7,0.5,0.5,2.1,2.2,1737,10,52
2026/3/19 20:08,â^ìÆå„,74.9,15.7,11.8,63.1,3.3,59.8,45.4,14.4,23.1,31.2,3,3.1,11.3,11.2,6.5,0.5,0.5,2.1,2.2,1743,10,52
2026/4/17 19:42,â^ìÆå„,75.7,16,12.1,63.6,3.3,60.3,46,14.3,23.4,30.8,3,3.2,11.7,11.6,6.7,0.6,0.5,2.1,2.2,1758,11,51
2026/4/29 13:15,â^ìÆå„,74.9,15.4,11.5,63.4,3.3,60.1,45.7,14.4,23.1,31.4,3.1,3.2,11.2,11.2,6.2,0.5,0.5,2.1,2.2,1750,10,56
2026/5/10 17:06,â^ìÆå„,74.9,15.9,11.9,63,3.3,59.7,45.1,14.6,23.1,31.1,3,3.1,11.3,11.2,6.7,0.5,0.5,2,2.2,1739,10,55
2026/5/19 18:32,â^ìÆå„,74.4,16,11.9,62.5,3.2,59.3,45,14.3,23,30.5,3,3.1,11.4,11.3,6.6,0.6,0.5,2,2.2,1724,10,53
2026/5/28 17:58,â^ìÆëO,76.3,16.7,12.7,63.6,3.3,60.3,46.4,13.9,23.5,29.5,3,3.1,12.4,12.3,7.4,0.6,0.6,2,2.1,1758,11,48
2026/5/28 20:32,â^ìÆå„,74.9,15.3,11.5,63.4,3.3,60.1,46.3,13.8,23.1,30.7,3.1,3.1,11.7,11.5,6.2,0.6,0.5,2,2.2,1752,10,54
2026/6/5 16:24,â^ìÆëO,76,17.4,13.2,62.8,3.2,59.6,45.3,14.3,23.5,29.6,2.9,3.1,12.1,11.9,7.6,0.6,0.6,2.1,2.3,1735,11,49
2026/6/5 20:11,â^ìÆå„,74.9,15.6,11.7,63.2,3.3,59.9,46,13.9,23.1,30.4,3.1,3.2,11.7,11.5,6.4,0.6,0.5,2,2.2,1745,10,52
2026/6/13 18:54,â^ìÆå„,74.7,16.2,12.1,62.6,3.2,59.4,45.1,14.3,23.1,30.7,3,3.1,11.4,11.2,6.5,0.6,0.6,2.1,2.3,1727,10,56
2026/6/17 15:45,â^ìÆëO,75.7,16.5,12.5,63.2,3.3,59.9,45.4,14.5,23.4,30.6,3,3.1,11.7,11.5,6.9,0.6,0.6,2.1,2.3,1747,11,58
2026/6/20 17:08,â^ìÆå„,74.8,16.8,12.6,62.2,3.2,59,45.1,13.9,23.1,30,3,3.1,11.6,11.3,7,0.6,0.6,2.1,2.3,1717,11,51
2026/7/1 19:09,â^ìÆå„,75.2,16.2,12.2,63,3.3,59.7,45.1,14.6,23.2,30.9,2.9,3.1,11.5,11.3,6.9,0.6,0.5,2,2.2,1739,11,56
2026/7/4 21:47,â^ìÆå„,75.4,17,12.8,62.6,3.2,59.4,45.6,13.8,23.3,29.8,3,3.1,12,11.5,7.2,0.6,0.6,2.1,2.3,1727,11,48
2026/7/9 18:18,â^ìÆëO,74.8,15,11.2,63.6,3.3,60.3,46.2,14.1,23.1,30.8,3,3.1,11.9,11.5,6.2,0.6,0.5,1.8,2.1,1754,10,55
2026/7/22 16:38,â^ìÆëO,74.8,15.1,11.3,63.5,3.3,60.2,46.5,13.7,23.1,30.6,3,3.1,11.9,11.6,6.2,0.6,0.5,1.9,2.1,1752,10,58
2026/7/24 16:20,â^ìÆëO,75.4,16.3,12.3,63.1,3.3,59.8,45.8,14,23.3,29.8,2.9,3.1,12.1,11.9,7.1,0.6,0.6,1.9,2.1,1742,11,54
2026/8/5 16:01,â^ìÆëO,75.5,16.2,12.3,63.2,3.3,59.9,45.4,14.5,23.3,30.5,2.9,3.1,11.8,11.6,7,0.6,0.6,2,2.1,1745,11,56
2026/8/7 18:31,â^ìÆëO,74.4,15.5,11.5,62.9,3.2,59.7,45.7,14,23,30.7,3,3.2,11.5,11.3,6.2,0.6,0.6,2,2.2,1733,10,58
2026/8/16 13:57,â^ìÆëO,75.7,16.3,12.3,63.4,3.3,60.1,45.3,14.8,23.4,31.2,2.9,3.1,11.6,11.3,6.8,0.6,0.5,2.1,2.3,1750,11,60
2026/8/26 18:56,â^ìÆëO,75.5,16.1,12.2,63.3,3.3,60,46,14,23.3,30.1,3,3.1,11.9,11.9,6.9,0.6,0.6,2,2.1,1749,11,52
2026/9/11 18:09,â^ìÆëO,76.5,15.7,12,64.5,3.3,61.2,47.2,14,23.6,30.1,3,3.2,12.4,12.5,6.9,0.6,0.6,1.9,2,1785,11,52
2026/9/19 17:07,â^ìÆëO,74.7,16.1,12,62.7,3.2,59.5,44.4,15.1,23.1,31.8,3,3.1,10.9,10.7,6.6,0.5,0.5,2.1,2.3,1728,10,62
